
Scraping Page 1...
Title: BILLY | Link: https://www.ikea.com/in/en/p/billy-bookcase-white-90522038/ | Price: 1,990
Title: HAUGA | Link: https://www.ikea.com/in/en/p/hauga-storage-combination-beige-s59388730/ | Price: 12,370
Title: TONSTAD | Link: https://www.ikea.com/in/en/p/tonstad-storage-comb-w-sliding-glass-doors-off-white-clear-glass-s59571823/ | Price: 27,980
Title: KALLAX | Link: https://www.ikea.com/in/en/p/kallax-insert-with-2-drawers-white-20351879/ | Price: 7,990
Title: JONAXEL | Link: https://www.ikea.com/in/en/p/jonaxel-shelving-unit-white-60431313/ | Price: 7,500
Title: BILLY / BERGSHULT | Link: https://www.ikea.com/in/en/p/billy-bergshult-bookcase-comb-w-foldable-table-white-s29590663/ | Price: 10,790
Title: KALLAX | Link: https://www.ikea.com/in/en/p/kallax-shelving-unit-white-70351886/ | Price: 2,500
Title: KALLAX | Link: https://www.ikea.com/in/en/p/kallax-shelving-unit-with-underframe-white-white-s29475837/ | Price: 52,970
Title: TONSTAD | Link: https://www.ikea.com/in/en/p/tonstad-storage-comb-w-sliding-glass-doors-off-white-clear-glass-s49571772/ | Price: 87,960
Title: BILLY / HÖGBO | Link: https://www.ikea.com/in/en/p/billy-hoegbo-bookcase-with-glass-doors-white-s19528346/ | Price: 1,500
Title: BILLY / HÖGBO | Link: https://www.ikea.com/in/en/p/billy-hoegbo-bookcase-combination-w-glass-doors-white-s99528371/ | Price: 2,490
Title: EKET | Link: https://www.ikea.com/in/en/p/eket-wall-mounted-cabinet-combination-walnut-effect-s99572180/ | Price: 19,770
Title: EKET | Link: https://www.ikea.com/in/en/p/eket-cabinet-white-30332121/ | Price: 5,490
Title: BILLY | Link: https://www.ikea.com/in/en/p/billy-shelf-white-50525270/ | Price: 16,990
Title: KALLAX | Link: https://www.ikea.com/in/en/p/kallax-shelving-unit-with-4-inserts-white-s39278308/ | Price: 47,980
Title: RUNMARÖ | Link: https://www.ikea.com/in/en/p/runmaroe-shelving-unit-dark-grey-indoor-outdoor-80551314/ | Price: 13,990
Title: EKBY ALEX | Link: https://www.ikea.com/in/en/p/ekby-alex-shelf-with-drawers-white-10363514/ | Price: 25,970
Title: EKET | Link: https://www.ikea.com/in/en/p/eket-cabinet-w-door-and-1-shelf-white-70333939/ | Price: 20,000
Title: KALLAX | Link: https://www.ikea.com/in/en/p/kallax-shelving-unit-with-underframe-black-brown-black-s89443952/ | Price: 1,600
Title: BILLY / OXBERG | Link: https://www.ikea.com/in/en/p/billy-oxberg-bookcase-comb-w-panel-glass-doors-black-oak-effect-s89483759/ | Price: 500
Title: LACK | Link: https://www.ikea.com/in/en/p/lack-wall-shelf-white-70282181/ | Price: 13,990
Data saved to C:\Users\2414380\OneDrive - Cognizant\Documents\Final Hackathon\IKEA Automation\data\results.json
Max number of pages reached: 4
Successfully scraped all pages.
No data scraped, CSV not saved.
